,x,y
0,15089.802254990725,6725430.487775374
1,16523.597296409564,6727254.326721988
2,15041.378276496791,6724267.307330753
3,14906.570373145609,6723335.342271083
4,15805.363941809592,6723139.7559989
5,14738.143983575055,6722902.085598212
6,20053.983627425398,6721229.4547425695
7,19540.68945537892,6721794.06355182
8,18844.831318429064,6721455.615892761
9,16174.610692772167,6720661.84120045
10,16046.25931988703,6720445.012527782
11,15528.289729225746,6720690.489516331
12,16195.98403500401,6721115.212622304
13,15356.523754932352,6721466.897254756
14,15521.387920797597,6721334.745137925
15,16445.451013872433,6721410.669669197
16,15421.200379084054,6719938.504622979
17,14253.124962188573,6719805.124077107
18,12987.199712886953,6720011.0144269345
19,12869.757650100206,6719444.559952265
20,13368.802927328285,6719768.243398946
21,12408.894958217907,6719390.315589031
22,14093.49281239147,6719285.050330859
23,16919.115447198426,6718997.726066784
24,16156.576935263161,6719277.710457136
25,18293.131922060005,6718438.681173972
26,19434.7133001439,6717733.440723022
27,18768.0208697839,6717230.322991592
28,18730.84015985639,6717767.269390949
29,11512.439098858495,6718364.932359243
30,12013.042848955345,6718577.588521938
31,11756.89670064124,6718660.46864796
32,11296.924564683144,6717847.993393702
33,10886.934880090585,6718445.841288636
34,10382.880225779661,6718167.317468143
35,10512.233474080233,6717410.196092713
36,11409.357250384212,6717513.289332412
37,11465.796232215798,6717186.473932313
38,11397.112106396688,6717423.440637263
39,13032.061467678413,6718671.925146414
40,12788.049143857768,6718672.641178101
41,13144.271514397014,6718386.9495325545
42,12954.694421577084,6717769.5962357065
43,16571.2420384677,6717808.615731437
44,15783.100043650713,6717979.909949413
45,15707.848067874322,6717053.496391833
46,16096.019132272935,6717534.588272002
47,16575.917457082505,6716929.82743773
48,17378.753624682824,6717536.9150502905
49,8394.268842248559,6717224.595754122
50,7548.463351202086,6717172.871823116
51,7743.829057543497,6716813.319040891
52,9047.046336261028,6716692.517163307
53,9042.816195611153,6716998.373094972
54,9519.152296715418,6717321.243425853
55,9907.768639073298,6716762.850483041
56,10441.879555901118,6716351.776039034
57,9772.738096742482,6717713.215184446
58,10214.565155700342,6717388.181559551
59,9861.571050395534,6717789.463937235
60,12603.370108632282,6716554.894688786
61,11687.210699403862,6716008.543875304
62,14695.1746601289,6717004.279144652
63,14806.160192449599,6717013.943598817
64,14705.527372773953,6716588.718462473
65,15546.546125717216,6716364.481991093
66,14997.9636750857,6716982.444679312
67,15524.282227558337,6717142.446134772
68,10576.576139761066,6716743.701147528
69,10832.833607566405,6716216.4857222
70,9407.832805921018,6715946.806569179
71,10180.390072027636,6716132.198843331
72,12049.555641935454,6714598.007943927
73,10617.319073391052,6715076.986608041
74,12147.739432815293,6714220.319934462
75,16334.465481551735,6716304.3525902005
76,16236.170371180662,6715904.932836542
77,16349.604932299999,6716105.892925947
78,15688.03319851408,6716207.53802914
79,16878.149874585975,6715795.9547721585
80,17132.292272066374,6716197.158717503
81,17910.860790674105,6715110.446386598
82,9731.77252413003,6715824.943868636
83,9257.774132333168,6715579.434536473
84,9837.414720891351,6715982.775203684
85,9000.960067071665,6716256.034643256
86,8730.008426480164,6716155.999508452
87,12214.642446783166,6714981.081266258
88,11077.291209349149,6715393.696969629
89,11003.59770644153,6715117.424646505
90,11039.108624006203,6715011.85673799
91,12508.971180440218,6715172.177354739
92,13839.016456437372,6720865.425481897
93,14032.82368991001,6721455.615892761
94,14567.602523679565,6721950.39888698
95,13844.80506995885,6721510.948436982
96,13466.875398716891,6721491.429794316
97,13616.266155360172,6721105.364238698
98,-22536.742230590135,6738230.35691527
99,-22971.333522646146,6738296.031719333
100,-21971.684495321217,6737974.302020264
101,-21413.08329052118,6737591.042203842
102,-22288.945044084547,6737770.827565252
103,-20842.014302751148,6737844.752439812
104,-22766.06038162178,6738854.109517037
105,-22146.67873484905,6740087.758853541
106,-22874.596885146675,6736592.964816067
107,-22924.46801702098,6737120.245877158
108,-22286.49601528591,6736757.657985352
109,-21904.89280084741,6736769.13998643
110,-22352.61979281798,6737340.03116689
111,-22461.044976848807,6736989.454021689
112,-18692.657574516277,6737556.951615519
113,-18629.98470119828,6737747.501894783
114,-20735.481550062792,6738050.202525449
115,-20333.952146772815,6737630.336269778
116,-19658.020198674432,6737953.846686152
117,-19404.323079156136,6737090.822011629
118,-20226.974116119527,6737009.727518601
119,-20232.87404913224,6736775.957432247
120,-19697.983895868616,6737254.6281773085
121,-20929.066144552966,6736730.388297744
122,-20503.825689720907,6737137.649067238
123,-20784.35080652166,6736855.973144446
124,-17832.825827628207,6738027.414356095
125,-17542.838554112266,6737461.857571782
126,-17232.034535817817,6736639.250794691
127,-18288.456503445195,6737504.918887798
128,-16909.76460997164,6735829.284195701
129,-16954.292406286568,6735978.893214996
130,-22104.266008856226,6735857.806566211
131,-22696.93097784057,6736098.187750304
132,-23222.692932857037,6736374.096701922
133,-18714.921472675156,6735189.440701011
134,-20825.093740151646,6736511.69588623
135,-20362.89521437738,6735554.828761012
136,-20220.406266162245,6735656.1788724745
137,-18781.156569695628,6736270.226108598
138,-18724.717587864045,6736468.819228405
139,-19008.916247858506,6737268.084471185
140,-19254.37572505952,6737233.815819953
141,-18852.401043804613,6737154.51404986
142,-18578.777735434836,6735552.1380672995
143,-18339.77478869987,6735586.399633762
144,-17752.230516295273,6734958.592788124
145,-27553.132444206512,6732987.594167048
146,-27367.89681152769,6737901.273124879
147,-22774.186704450665,6734388.765495975
148,-22020.108473817985,6733652.551059758
149,-21358.759379014533,6733079.766715876
150,-20911.922942970996,6733846.058704004
151,-24767.918784558675,6736615.21075741
152,-24130.614699768175,6736751.378772866
153,-24187.16500109099,6737007.574578477
154,-24711.81376119796,6736870.325821832
155,-19432.264271345262,6734936.351377183
156,-18618.18483517569,6733591.935154115
157,-19315.601444994318,6733936.806228273
