part.a,part.b,dist,soil,ffreq,x,y,mean,sd,X0.025quant,X0.5quant,X0.975quant
1,0,0,1,1,181180,333740,6.70893337208424,0.414522491430695,5.8883941146676,6.70983098922677,7.52396043982075
1,0,0,1,1,181140,333700,6.78641403213312,0.305450132346072,6.18691159801914,6.78591554535273,7.38868730129166
1,0,0.0122243,1,1,181180,333700,6.6664701970048,0.327206795506202,6.02069695830947,6.66691162323748,7.30973613126559
1,0,0.0434678,1,1,181220,333700,6.521111444236,0.329232560330967,5.86988392059652,6.52206157681956,7.16696704172658
1,0,0,1,1,181100,333660,6.86391045941037,0.287189746154934,6.30127839105463,6.86326105454939,7.43021207084174
1,0,0.0122243,1,1,181140,333660,6.74396212125261,0.255528827575295,6.24279034433241,6.74368000295969,7.24668354991642
1,0,0.0373395,1,1,181180,333660,6.58799448855403,0.272134851961309,6.05141232126327,6.58837978504957,7.12207269680943
1,0,0.0593662,1,1,181220,333660,6.45454658071836,0.300120183566324,5.85969393940844,6.45584411026435,7.04172377989342
1,0,0.00135803,1,1,181060,333620,6.90906715388281,0.199802053121299,6.51453436856277,6.90985683606459,7.29920781676919
1,0,0.0122243,1,1,181100,333620,6.80784510960041,0.205837061971083,6.40379252035905,6.80782332477822,7.21203081548855
1,0,0.0373395,1,1,181140,333620,6.65900512905747,0.208801645127355,6.2495307585156,6.65881304430808,7.06956363087783
1,0,0.0593662,1,1,181180,333620,6.51494965560768,0.246066621259487,6.03002902804215,6.51522048099851,6.99821591651011
1,0,0.0812247,1,1,181220,333620,6.37138426873781,0.321868073350461,5.73068940675956,6.3732663963085,7.00133853148789
1,0,0.101178,1,1,181260,333620,6.25169403942791,0.28777015294988,5.67924229799296,6.25376322692836,6.8122524243963
1,0,0,1,1,181020,333580,6.9618852275689,0.211170792826138,6.54584993546737,6.96246332610904,7.37478892622012
1,0,0.0122243,1,1,181060,333580,6.8568312622624,0.165619623928553,6.52540970730142,6.85899852641585,7.17630216779226
1,0,0.0484855,1,1,181100,333580,6.68467443733127,0.163358852424921,6.35986062000021,6.68605083381327,7.00166273697227
1,0,0.0593662,1,1,181140,333580,6.57947318507137,0.185274519423652,6.21524317584919,6.57966809282146,6.94264328052726
1,0,0.0812247,1,1,181180,333580,6.43588845322888,0.219341264963764,6.00557480409948,6.43564302436244,6.86763746966522
1,0,0.103029,1,1,181220,333580,6.27252496772667,0.223554886322787,5.83064126917243,6.27340901885073,6.70921822048575
1,0,0.12481,2,1,181260,333580,6.1092557960637,0.260770986907626,5.58950723229857,6.11173328159431,6.61470297935966
1,0,0.152165,2,1,181300,333580,5.9689415724903,0.270468331047208,5.43146344781701,5.97116003938965,6.49397053432022
1,0,0,1,1,180980,333540,6.9237350422686,0.228935220851444,6.47698392448973,6.92269194084953,7.37645017411988
1,0,0.0122243,1,1,181020,333540,6.84770476100932,0.179463783758692,6.49370062352852,6.84831861151723,7.19833955959642
1,0,0.0373395,1,1,181060,333540,6.72841748923365,0.159142928230104,6.41311511586079,6.72942701250557,7.0380875521034
1,0,0.0593662,1,1,181100,333540,6.61417964889062,0.16978138581723,6.27954128289296,6.61464545586301,6.94620223950556
1,0,0.0921488,1,1,181140,333540,6.46995189671241,0.220921576409432,6.03782720138809,6.46927581555111,6.90581658273365
1,0,0.103029,1,1,181180,333540,6.33705350485599,0.18253217323401,5.97863946719607,6.33707067280365,6.69547393156803
1,0,0.12481,1,1,181220,333540,6.17379103634465,0.184366709296949,5.81224405792761,6.17363473102572,6.53617788462892
1,0,0.146578,2,1,181260,333540,6.01054579554813,0.225406106416385,5.56519821316617,6.01153898676921,6.45026904315756
1,0,0.166504,2,1,181300,333540,5.85241991428881,0.289446916781308,5.27482417045433,5.85565324291708,6.41198334514628
1,0,0,1,1,180940,333500,6.8856001149691,0.333896390370673,6.22875337221297,6.8846250025065,7.54736792444063
1,0,0.0122243,1,1,180980,333500,6.80955934587389,0.246391967279241,6.32699038867054,6.80861926343956,7.29736622898459
1,0,0.0373395,1,1,181020,333500,6.69750668571635,0.200197866180168,6.30591741345709,6.69680473442013,7.0930306480026
1,0,0.0593662,1,1,181060,333500,6.59051472182097,0.199491444295152,6.20125244736396,6.58940432650748,6.98631664343806
1,0,0.0812247,1,1,181100,333500,6.4767438509229,0.201744225546437,6.08271970351369,6.47576731076391,6.87635915932217
1,0,0.103029,1,1,181140,333500,6.34302889459968,0.176795169455649,5.99635156273246,6.34281869728823,6.69084317761757
1,0,0.135698,1,1,181180,333500,6.17904581741266,0.197956767498003,5.78990408607279,6.17903940749749,6.56805542664514
1,0,0.146578,1,1,181220,333500,6.04617280907946,0.188909298188601,5.67357854622447,6.04671609943149,6.41565513581509
1,0,0.168339,2,1,181260,333500,5.88293567587783,0.219881232340153,5.44724666915665,5.88431399708476,6.31077310379968
1,0,0.190094,2,1,181300,333500,5.78924781169036,0.221187338064632,5.35545364522336,5.78916200679151,6.22334086299334
1,0,0.206375,2,1,181340,333500,5.75270932232638,0.224442914102466,5.31189068073948,5.75285911931629,6.19268721544602
1,0,0.00135803,1,1,180940,333460,6.81561180492875,0.256946485874737,6.30924333229914,6.81565103860038,7.32147751783817
1,0,0.0316663,1,1,180980,333460,6.66711162652217,0.22593063379644,6.22083668468083,6.66762028588687,7.11015433301662
